parameter,decade,LOCATCD,dataset,FLDNUM,mean.val,sd.val,N.val,units
SRP,2010,S000.2K,trib,6,0.035778761,0.061488056,113,mg/L
SRP,2010,HD00.9M,trib,5,0.023961165,0.029489088,103,mg/L
SRP,2010,WP02.6M,trib,3,0.039807692,0.102211287,104,mg/L
SRP,2010,BM00.7S,trib,5,0.055410526,0.045962865,95,mg/L
SRP,2010,MK04.4M,trib,6,0.034752381,0.101001122,105,mg/L
SRP,2010,CN00.1M,trib,1,0.03692437,0.036141473,119,mg/L
SRP,2010,SG16.2C,trib,6,0.261988372,0.383458886,86,mg/L
SRP,2010,LM00.5M,trib,6,0.045609524,0.05477638,105,mg/L
SRP,2010,CC00.6M,trib,2,0.016826087,0.013947196,138,mg/L
SRP,2010,BX00.4M,trib,2,0.013723881,0.017341069,134,mg/L
SRP,2010,MQ02.1M,trib,3,0.055098039,0.104214602,102,mg/L
SRP,2010,CU11.6M,trib,4,0.040938144,0.050062422,97,mg/L
SRP,2010,UI02.9M,trib,2,0.024214286,0.049249505,126,mg/L
SRP,2010,LM07.2M,trib,6,0.047460784,0.080743043,102,mg/L
SRP,2010,CH00.1M,trib,1,0.031572519,0.015544492,131,mg/L
SRP,2010,PE01.8M,trib,4,0.020607843,0.020181433,102,mg/L
SRP,2010,PI00.2M,trib,4,0.045709677,0.043900971,93,mg/L
SRP,2010,AL02.3M,trib,3,0.034923077,0.060825661,104,mg/L
SRP,2010,BK14.2M,trib,2,0.044925926,0.020542959,108,mg/L
SRP,2010,BK01.0M,trib,2,0.029707692,0.02634813,130,mg/L
TN,2010,S000.2K,trib,6,4.627721649,2.521684501,97,mg/L
TN,2010,R000.1M,trib,2,5.209160714,1.673482658,112,mg/L
TN,2010,SG16.2C,trib,6,4.856202128,2.515388307,94,mg/L
TN,2010,RK00.1M,trib,3,8.369451613,3.071734061,93,mg/L
TN,2010,UI02.9M,trib,2,5.605231481,2.128644506,108,mg/L
TN,2010,RK03.7M,trib,3,7.436666667,2.553212365,84,mg/L
TN,2010,VM00.1M,trib,1,4.026132813,1.260771239,128,mg/L
TN,2010,CH00.1M,trib,1,1.460089552,0.440917865,134,mg/L
TN,2010,WP02.6M,trib,3,6.059752688,3.064103904,93,mg/L
TN,2010,BM00.7S,trib,5,1.308349558,0.684176111,113,mg/L
TN,2010,CN00.1M,trib,1,4.778147541,1.430423244,122,mg/L
TN,2010,AL02.3M,trib,3,3.825660377,1.645117242,106,mg/L
TN,2010,BX00.4M,trib,2,2.003571429,0.417576908,133,mg/L
TN,2010,CU11.6M,trib,4,1.963834862,0.830804324,109,mg/L
TN,2010,LX00.1M,trib,2,2.035362903,0.40719613,124,mg/L
TN,2010,BK01.0M,trib,2,1.371392593,0.575084018,135,mg/L
TN,2010,CC00.6M,trib,2,1.611106061,0.41733155,132,mg/L
TN,2010,LM00.5M,trib,6,3.519571429,2.232484038,91,mg/L
TN,2010,DC01.0M,trib,4,3.267920792,2.203667405,101,mg/L
TN,2010,MQ02.1M,trib,3,7.292358696,2.181834547,92,mg/L
TN,2010,MK04.4M,trib,6,5.749988372,3.61141364,86,mg/L
TN,2010,BK14.2M,trib,2,1.473645161,0.310213674,124,mg/L
TN,2010,PI00.2M,trib,4,2.238361111,1.195860692,108,mg/L
TN,2010,LM07.2M,trib,6,3.536119266,2.266472115,109,mg/L
TN,2010,PE01.8M,trib,4,1.173207921,0.532522344,101,mg/L
TN,2010,HD00.9M,trib,5,0.852294118,0.575493479,102,mg/L
TNTP,2010,AL02.3M,trib,3,71.43731079,41.23135125,105,mol:mol
TNTP,2010,BK01.0M,trib,2,30.46602276,15.70170871,133,mol:mol
TNTP,2010,BK14.2M,trib,2,22.46977402,9.743636162,123,mol:mol
TNTP,2010,S000.2K,trib,6,71.09440563,55.01682286,95,mol:mol
TNTP,2010,BM00.7S,trib,5,17.7006532,9.587384122,113,mol:mol
TNTP,2010,SG16.2C,trib,6,26.36320687,19.43723534,94,mol:mol
TNTP,2010,BX00.4M,trib,2,66.36102065,32.13588364,130,mol:mol
TNTP,2010,CU11.6M,trib,4,30.35874447,15.99539303,108,mol:mol
TNTP,2010,RK00.1M,trib,3,226.0098649,289.7066619,90,mol:mol
TNTP,2010,VM00.1M,trib,1,89.34483674,83.54671574,127,mol:mol
TNTP,2010,UI02.9M,trib,2,178.8531081,135.6269018,106,mol:mol
TNTP,2010,CC00.6M,trib,2,41.24758918,20.34445593,129,mol:mol
TNTP,2010,DC01.0M,trib,4,18.19012853,9.626157846,98,mol:mol
TNTP,2010,RK03.7M,trib,3,365.8647249,265.125383,82,mol:mol
TNTP,2010,WP02.6M,trib,3,73.81996628,53.7714059,93,mol:mol
TNTP,2010,CN00.1M,trib,1,101.6773681,74.35491401,121,mol:mol
TNTP,2010,CH00.1M,trib,1,37.83435093,15.56923676,134,mol:mol
TNTP,2010,HD00.9M,trib,5,21.8804843,19.64841621,102,mol:mol
TNTP,2010,MK04.4M,trib,6,130.774792,95.22087612,84,mol:mol
TNTP,2010,MQ02.1M,trib,3,87.78682966,49.81229814,92,mol:mol
TNTP,2010,LX00.1M,trib,2,32.10163045,17.65305782,123,mol:mol
TNTP,2010,R000.1M,trib,2,123.0618958,62.22976947,110,mol:mol
TNTP,2010,LM07.2M,trib,6,49.6164871,51.03554023,107,mol:mol
TNTP,2010,LM00.5M,trib,6,50.32140509,42.56198485,87,mol:mol
TNTP,2010,PI00.2M,trib,4,28.05988612,14.8098775,106,mol:mol
TNTP,2010,PE01.8M,trib,4,19.23461695,8.476276031,99,mol:mol
TP,2010,S000.2K,trib,6,0.211448598,0.172072124,107,mg/L
TP,2010,WP02.6M,trib,3,0.245666667,0.195983911,114,mg/L
TP,2010,R000.1M,trib,2,0.143515873,0.184829899,126,mg/L
TP,2010,SG16.2C,trib,6,0.554154545,0.415936705,110,mg/L
TP,2010,RK00.1M,trib,3,0.165572727,0.199075683,110,mg/L
TP,2010,UI02.9M,trib,2,0.19565625,0.381801376,128,mg/L
TP,2010,RK03.7M,trib,3,0.093008772,0.145305445,114,mg/L
TP,2010,VM00.1M,trib,1,0.147813953,0.076595709,129,mg/L
TP,2010,BM00.7S,trib,5,0.176420354,0.068233402,113,mg/L
TP,2010,AL02.3M,trib,3,0.160142857,0.130256148,112,mg/L
TP,2010,BX00.4M,trib,2,0.109320896,0.14167869,134,mg/L
TP,2010,BK01.0M,trib,2,0.114177778,0.056881897,135,mg/L
TP,2010,CC00.6M,trib,2,0.137691729,0.191792983,133,mg/L
TP,2010,BK14.2M,trib,2,0.16996,0.108689807,125,mg/L
TP,2010,CH00.1M,trib,1,0.097281481,0.050880259,135,mg/L
TP,2010,HD00.9M,trib,5,0.104238532,0.067362329,109,mg/L
TP,2010,CN00.1M,trib,1,0.152122137,0.117269579,131,mg/L
TP,2010,LM00.5M,trib,6,0.246206186,0.29654686,97,mg/L
TP,2010,DC01.0M,trib,4,0.435115385,0.255738918,104,mg/L
TP,2010,CU11.6M,trib,4,0.182723214,0.119104709,112,mg/L
TP,2010,LM07.2M,trib,6,0.249929825,0.243380023,114,mg/L
TP,2010,PE01.8M,trib,4,0.15331068,0.083605285,103,mg/L
TP,2010,MQ02.1M,trib,3,0.283954545,0.313111856,110,mg/L
TP,2010,LX00.1M,trib,2,0.16715625,0.085369548,128,mg/L
TP,2010,MK04.4M,trib,6,0.146509434,0.169419527,106,mg/L
TP,2010,PI00.2M,trib,4,0.201824074,0.119733726,108,mg/L
