parameter,LOCATCD,dataset,FLDNUM,mean.val,sd.val,N.val,units
SiSRP,CN00.1M,trib,1,305.3051711,430.5811358,390,mol:mol
SiSRP,R000.1M,trib,2,480.6871498,499.8922932,411,mol:mol
SiSRP,I121.2W,main,6,25.67591073,19.50527842,401,mol:mol
SiSRP,M786.2C,main,1,337.042283,373.8285296,395,mol:mol
SiTN,AL02.3M,trib,3,0.457447367,0.274770283,330,mol:mol
SiTN,LM00.5M,trib,6,0.813100754,0.903885652,322,mol:mol
SiTN,SG16.2C,trib,6,0.430835893,0.261265447,335,mol:mol
SiTN,M070.2A,main,5,0.731099942,0.310945578,331,mol:mol
SiTN,BX00.4M,trib,2,1.407421412,0.399200063,317,mol:mol
SiTN,MQ02.1M,trib,3,0.331495988,0.120163288,356,mol:mol
SiTN,I007.0W,main,4,0.325514107,0.19658482,311,mol:mol
SiTN,M556.4A,main,3,0.875726801,0.419368257,394,mol:mol
SiTN,CU11.6M,trib,4,1.002229305,0.445899757,301,mol:mol
SiTN,RK00.1M,trib,3,0.238611724,0.228492426,295,mol:mol
SiTN,I157.8D,main,6,0.294096368,0.171390548,328,mol:mol
SiTN,BK01.0M,trib,2,1.340757815,0.602755446,382,mol:mol
SiTN,LM07.2M,trib,6,0.759811535,0.690639931,365,mol:mol
SiTN,UI02.9M,trib,2,0.497888666,0.461592387,291,mol:mol
SiTN,M078.0B,main,5,0.71469951,0.2934032,342,mol:mol
SiTN,CC00.6M,trib,2,1.764316287,0.460493667,370,mol:mol
SiTN,PE01.8M,trib,4,1.394105068,1.084617045,313,mol:mol
SiTN,I080.2C,main,6,0.332050877,0.184477575,334,mol:mol
SiTN,M701.1B,main,2,1.191587489,0.537732881,436,mol:mol
SiTN,DC01.0M,trib,4,0.653683148,0.367180482,279,mol:mol
SiTN,RK03.7M,trib,3,0.325366692,0.121849976,295,mol:mol
SiTN,M066.3B,main,5,0.710077537,0.313008688,306,mol:mol
SiTN,BK14.2M,trib,2,1.473945547,0.445735837,354,mol:mol
SiTN,LX00.1M,trib,2,1.218218061,0.407294632,404,mol:mol
SiTN,VM00.1M,trib,1,0.907212306,0.366783505,393,mol:mol
SiTN,M202.6T,main,4,0.544913775,0.290039278,302,mol:mol
SiTN,CH00.1M,trib,1,1.651165045,0.488253952,394,mol:mol
SiTN,PI00.2M,trib,4,0.926515063,0.469908201,351,mol:mol
SiTN,I080.2M,main,6,0.339764574,0.189209887,308,mol:mol
SiTN,M764.3A,main,1,1.184945629,0.636847479,376,mol:mol
SiTN,HD00.9M,trib,5,3.006190696,2.451097241,347,mol:mol
SiTN,S000.2K,trib,6,0.40265335,0.356811977,406,mol:mol
SiTN,M066.4C,main,5,0.711828326,0.300913012,338,mol:mol
SiTN,BM00.7S,trib,5,1.142559868,0.578002823,352,mol:mol
SiTN,MK04.4M,trib,6,0.544862457,0.502304946,368,mol:mol
SiTN,WP02.6M,trib,3,0.289042483,0.195358136,348,mol:mol
SiTN,M241.4K,main,4,0.541689353,0.292875684,367,mol:mol
SiTN,CN00.1M,trib,1,0.692264876,0.32617467,388,mol:mol
SiTN,R000.1M,trib,2,0.583452673,0.196256985,430,mol:mol
SiTN,I121.2W,main,6,0.295483211,0.186710301,373,mol:mol
SiTN,M786.2C,main,1,1.06372816,0.451775503,388,mol:mol
SiTP,AL02.3M,trib,3,30.63610925,17.84580815,325,mol:mol
SiTP,LM00.5M,trib,6,31.56261467,21.54286288,324,mol:mol
SiTP,SG16.2C,trib,6,11.32367408,7.644086221,343,mol:mol
SiTP,M070.2A,main,5,18.60626181,8.919166215,327,mol:mol
SiTP,BX00.4M,trib,2,84.70109434,41.73121362,315,mol:mol
SiTP,MQ02.1M,trib,3,30.83294947,23.53857422,363,mol:mol
SiTP,I007.0W,main,4,10.67168071,6.41251249,310,mol:mol
SiTP,M556.4A,main,3,39.454051,24.77863742,385,mol:mol
SiTP,CU11.6M,trib,4,34.05006235,32.86122518,307,mol:mol
SiTP,RK00.1M,trib,3,55.82877939,43.76344929,306,mol:mol
SiTP,I157.8D,main,6,7.813585123,4.973986496,332,mol:mol
SiTP,BK01.0M,trib,2,42.37480731,29.92492901,377,mol:mol
SiTP,LM07.2M,trib,6,30.02660175,23.77568501,362,mol:mol
SiTP,UI02.9M,trib,2,69.96683501,61.64176493,307,mol:mol
SiTP,M078.0B,main,5,18.86011842,9.761911871,339,mol:mol
SiTP,CC00.6M,trib,2,76.86650857,84.39506615,363,mol:mol
SiTP,PE01.8M,trib,4,27.02265594,17.39224269,307,mol:mol
SiTP,I080.2C,main,6,9.864353993,5.914842305,332,mol:mol
SiTP,M701.1B,main,2,51.27877227,29.36603165,433,mol:mol
SiTP,DC01.0M,trib,4,10.70606865,8.024193214,275,mol:mol
SiTP,RK03.7M,trib,3,115.5498975,86.28064684,309,mol:mol
SiTP,M066.3B,main,5,17.9233995,8.259830449,302,mol:mol
SiTP,BK14.2M,trib,2,37.7109232,23.73857313,350,mol:mol
SiTP,LX00.1M,trib,2,39.65935988,28.9391934,402,mol:mol
SiTP,VM00.1M,trib,1,48.75634592,37.15791411,390,mol:mol
SiTP,M202.6T,main,4,21.31024659,11.73041908,300,mol:mol
SiTP,CH00.1M,trib,1,63.55396038,34.37434828,387,mol:mol
SiTP,PI00.2M,trib,4,29.23274175,18.19590229,347,mol:mol
SiTP,I080.2M,main,6,10.08485278,5.909150862,304,mol:mol
SiTP,M764.3A,main,1,61.18077003,31.94104586,367,mol:mol
SiTP,HD00.9M,trib,5,55.84389982,38.79793601,363,mol:mol
SiTP,S000.2K,trib,6,26.67295229,20.70424622,411,mol:mol
SiTP,M066.4C,main,5,19.0385823,9.558861188,337,mol:mol
SiTP,BM00.7S,trib,5,23.28148637,44.2776777,356,mol:mol
SiTP,MK04.4M,trib,6,57.31046515,51.41653419,386,mol:mol
SiTP,WP02.6M,trib,3,27.27775313,29.08270446,362,mol:mol
SiTP,M241.4K,main,4,21.78306093,12.31762359,364,mol:mol
SiTP,CN00.1M,trib,1,49.06775456,27.67201331,386,mol:mol
SiTP,R000.1M,trib,2,79.75374209,109.2293153,438,mol:mol
SiTP,I121.2W,main,6,9.151649308,5.871952852,373,mol:mol
SiTP,M786.2C,main,1,53.11260916,29.5716864,387,mol:mol
SRP,AL02.3M,trib,3,0.039774775,0.066423207,333,mg/L
SRP,LM00.5M,trib,6,0.04284985,0.048679505,333,mg/L
SRP,SG16.2C,trib,6,0.167224,0.229576576,375,mg/L
SRP,M070.2A,main,5,0.062731214,0.028829232,346,mg/L
SRP,BX00.4M,trib,2,0.013912214,0.018789516,262,mg/L
SRP,MQ02.1M,trib,3,0.054126316,0.088873334,380,mg/L
SRP,I007.0W,main,4,0.124725948,0.082460769,343,mg/L
SRP,M556.4A,main,3,0.038157068,0.02738606,382,mg/L
SRP,CU11.6M,trib,4,0.041371429,0.050804262,280,mg/L
SRP,RK00.1M,trib,3,0.037040956,0.084715388,293,mg/L
SRP,I157.8D,main,6,0.177094444,0.114594389,360,mg/L
SRP,BK01.0M,trib,2,0.039138462,0.029835044,390,mg/L
SRP,LM07.2M,trib,6,0.041589235,0.057132806,353,mg/L
SRP,UI02.9M,trib,2,0.02482971,0.040180094,276,mg/L
SRP,M078.0B,main,5,0.062574866,0.03162343,374,mg/L
SRP,CC00.6M,trib,2,0.018878338,0.02036059,337,mg/L
SRP,PE01.8M,trib,4,0.024333333,0.028957857,288,mg/L
SRP,I080.2C,main,6,0.13581337,0.101654449,359,mg/L
SRP,M701.1B,main,2,0.054554324,0.03685628,451,mg/L
SRP,DC01.0M,trib,4,0.40533,0.459056238,300,mg/L
SRP,RK03.7M,trib,3,0.038916968,0.109286074,277,mg/L
SRP,M066.3B,main,5,0.061442368,0.029482791,321,mg/L
SRP,BK14.2M,trib,2,0.046052356,0.026428081,382,mg/L
SRP,LX00.1M,trib,2,0.033717762,0.031917931,411,mg/L
SRP,VM00.1M,trib,1,0.051547912,0.053814149,407,mg/L
SRP,M202.6T,main,4,0.051394322,0.029928803,317,mg/L
SRP,CH00.1M,trib,1,0.031202934,0.020047502,409,mg/L
SRP,PI00.2M,trib,4,0.050730659,0.052424403,349,mg/L
SRP,I080.2M,main,6,0.137317507,0.095041454,337,mg/L
SRP,M764.3A,main,1,0.045861619,0.040437582,383,mg/L
SRP,HD00.9M,trib,5,0.027357143,0.033334218,350,mg/L
SRP,S000.2K,trib,6,0.03645933,0.051619522,418,mg/L
SRP,M066.4C,main,5,0.06125876,0.02998284,371,mg/L
SRP,BM00.7S,trib,5,0.05233518,0.043838734,361,mg/L
SRP,MK04.4M,trib,6,0.030824926,0.075281193,337,mg/L
SRP,WP02.6M,trib,3,0.036987616,0.073018715,323,mg/L
SRP,M241.4K,main,4,0.050669377,0.035006663,369,mg/L
SRP,CN00.1M,trib,1,0.049465823,0.049899551,395,mg/L
SRP,R000.1M,trib,2,0.026151079,0.033780168,417,mg/L
SRP,I121.2W,main,6,0.159317191,0.102647661,413,mg/L
SRP,M786.2C,main,1,0.036020202,0.031119363,396,mg/L
TN,AL02.3M,trib,3,4.223402597,1.689378811,385,mg/L
TN,LM00.5M,trib,6,3.929933333,2.321485089,360,mg/L
TN,SG16.2C,trib,6,5.018997537,2.445459398,406,mg/L
TN,M070.2A,main,5,3.10608399,1.157287645,381,mg/L
TN,BX00.4M,trib,2,1.75956305,0.474864494,341,mg/L
TN,MQ02.1M,trib,3,7.283496403,2.30017151,417,mg/L
TN,I007.0W,main,4,4.715376923,2.087467377,390,mg/L
